type,repo_name,actor_login,event,issue_url,html_url,title,created_at
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15481","https://github.com/twbs/bootstrap/issues/15481","modal stops showing after a few shows/hides",2015-01-12 05:02:33.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/12832","https://github.com/twbs/bootstrap/issues/12832","sticky :hover on mobile causes bad UX for button checkbox/radio groups toggle",2015-01-18 20:01:56.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/12373","https://github.com/twbs/bootstrap/issues/12373","Affix Plugin Flickering at bottom in IE (8 - 11)",2015-01-18 20:02:35.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/13613","https://github.com/twbs/bootstrap/issues/13613","affix-top is not applied properly on Windows Chrome (& IE11?)",2015-01-18 20:02:55.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/14738","https://github.com/twbs/bootstrap/issues/14738","Affix problem, bouncing at the bottom on scroll",2015-01-18 20:04:29.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/14905","https://github.com/twbs/bootstrap/issues/14905","Customizer's issues",2015-01-18 20:04:36.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15032","https://github.com/twbs/bootstrap/issues/15032","Affix top and bottom problems with sticky header and footer layout",2015-01-18 20:04:41.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15113","https://github.com/twbs/bootstrap/issues/15113","menu options in getbootstrap.com",2015-01-18 20:12:04.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15130","https://github.com/twbs/bootstrap/issues/15130","Clarification on \""Context-specific usage\""",2015-01-18 20:12:53.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15155","https://github.com/twbs/bootstrap/issues/15155","The .navbar-toggle Button Moves Outside the Viewport",2015-01-18 20:13:11.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15595","https://github.com/twbs/bootstrap/issues/15595","Problem triggering a modal from menu dropdown on mobile",2015-01-18 20:20:48.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15270","https://github.com/twbs/bootstrap/issues/15270","Nested .btn-group not rounded if only child",2015-01-18 20:26:50.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15186","https://github.com/twbs/bootstrap/issues/15186","Prevent Tab link to add active class to Parent li",2015-01-18 20:32:23.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15277","https://github.com/twbs/bootstrap/issues/15277","Can dismissible popover work without href=\""#\"" ?",2015-01-18 20:53:46.000000
IssuesEvent,twbs/bootstrap,patrickhlauke,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15696","https://github.com/twbs/bootstrap/issues/15696","disabled in btn-group (checkboxes or radios) on data-toggle=buttons",2015-01-29 19:08:00.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15541","https://github.com/twbs/bootstrap/issues/15541","\""Mad Libs\""-style forms",2015-01-12 06:37:31.000000
IssuesEvent,twbs/bootstrap,shotaK,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15679","https://github.com/twbs/bootstrap/issues/15679","Warning:Ruh roh! Problem parsing or compiling Less files. Error: missing opening `(`",2015-01-27 14:37:33.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15631","https://github.com/twbs/bootstrap/issues/15631","Different line-height in .form-control and .btn",2015-01-22 02:43:02.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15486","https://github.com/twbs/bootstrap/issues/15486","add box shadow style for focused [contenteditable] element",2015-01-22 02:43:39.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15626","https://github.com/twbs/bootstrap/issues/15626","[I'm not sure if this is a bug] .panel-heading custom colours",2015-01-22 02:47:43.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15561","https://github.com/twbs/bootstrap/issues/15561",".btn-group-xs does not shrink nested badges",2015-01-22 02:52:13.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15602","https://github.com/twbs/bootstrap/issues/15602","visible x-axis scrollbar in table-responsive with dropdown",2015-01-22 02:53:30.000000
IssuesEvent,twbs/bootstrap,adrianpuescu,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15572","https://github.com/twbs/bootstrap/issues/15572",".transition-property mixin with multiple values",2015-01-15 14:01:11.000000
IssuesEvent,twbs/bootstrap,jylertones,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15515","https://github.com/twbs/bootstrap/issues/15515","Tooltip in narrow window does not position correctly and causes flicker",2015-01-07 20:02:47.000000
